,,,,,,,,,,,,,,,,,,,
,,Sanket,Vignesh,,1602532,,,,,,,,,,,,,,
,AB1/AB2/BA1/BA2,parallel/serial,smooth/conflict,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,trajectory,motion type,random,t0_cam_1_seq,t0_sec,tf_cam_1_seq,tf_sec,duration,t0_precise,tf_precise,duration_precise,negotiation,tdec_sec,outcome,initialOrient,handle_1,handle_2,instant_decision,comments
1,AB2,parallel,,32675,331,33010,342,11,331.8261,341.2714,9.4453,,336.52,r2,xl,Sanket,Vignesh,0,
2,BA1,parallel,,33054,343,33343,352,9,343.5937,352.3497,8.756,,345.58,r1,xr,Sanket,Vignesh,1,
3,AB1,parallel,,33422,354,33685,362,8,354.4036,362.0539,7.6503,,356.65,l1,xl,Sanket,Vignesh,0,
4,BA2,parallel,,33768,364,34001,372,8,364.0369,371.8266,7.7897,,367.18,l2,xr,Sanket,Vignesh,0,
5,AB1,parallel,,34054,373,34287,380,7,373.4771,380.6029,7.1258,,375.75,l1,xl,Sanket,Vignesh,0,
6,BA2,parallel,,34366,383,34629,390,7,383.1745,390.5685,7.394,,385.85,l2,xr,Sanket,Vignesh,1,
7,AB2,parallel,,34701,392,34936,399,7,392.5507,399.385,6.8343,,394.65,r2,xl,Sanket,Vignesh,1,
8,BA1,parallel,,35300,410,35595,418,8,410.1555,418.3506,8.1951,,412.42,r1,xr,Sanket,Vignesh,0,
9,AB2,parallel,,35687,421,35892,427,6,421.2855,427.3857,6.1002,,423.84,r2,xl,Sanket,Vignesh,1,
10,BA1,parallel,,35974,430,36235,437,7,430.1557,438.783,8.6273,,432.52,r1,xr,Sanket,Vignesh,1,
11,AB1,parallel,,36732,453,36947,460,7,453.0942,459.573,6.4788,,455.52,l1,xl,Sanket,Vignesh,1,
12,BA2,parallel,,36980,460,37228,468,8,460.9765,467.6883,6.7118,,463.25,l2,xr,Sanket,Vignesh,1,
13,AB1,parallel,,37268,469,37503,475,6,469.2169,475.3907,6.1738,,471.33,l1,xl,Sanket,Vignesh,1,
14,BA1,parallel,,37545,477,37797,484,7,477.1381,484.635,7.4969,,478.77,r1,xr,Sanket,Vignesh,1,
15,AB2,parallel,,37840,485,38027,491,6,485.4479,491.5498,6.1019,,487.55,r2,xl,Sanket,Vignesh,1,
16,BA2,parallel,,38061,492,38271,499,7,492.8688,499.961,7.0922,,495.45,l2,xr,Sanket,Vignesh,1,
17,AB1,parallel,,38356,501,38543,507,6,501.3761,507.3357,5.9596,,503.35,l1,xl,Sanket,Vignesh,1,
18,BA2,parallel,,38640,509,38804,514,5,509.8769,515.4768,5.5999,,511.58,l2,xr,Sanket,Vignesh,1,
19,AB2,parallel,,38888,517,39096,523,6,517.1703,522.7285,5.5582,,518.88,r2,xl,Sanket,Vignesh,1,
20,BA1,parallel,,39105,523,39385,532,9,523.9795,531.5335,7.554,,526.01,r1,xr,Sanket,Vignesh,0,
